"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMSA52 - SEMINÁRIOS DE PESQUISA I","010000","244","15","TER","08:50 às 09:45","Gilvaneia Silva Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMSA59 - FUNDAMENTOS EM FISIOLOGIA","010000","244","15","SEG","07:00 às 08:50","Telma de Jesus Soares"
NA,NA,NA,NA,"TER","07:00 às 08:50","Telma de Jesus Soares"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMSA61 - ESTÁGIO DOCENTE DOUTORADO","001000","256","1","SEG","10:40 às 12:30","Regiane Yatsuda"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMSA65 - TREINAMENTO EM ORIENTAÇÃO CIENTÍFICA","001000","256","1","QUA","07:00 às 08:50","Lucas Miranda Marques"
NA,"002000","256","1","QUA","08:50 às 10:40","Regiane Yatsuda"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMSA68 - PESQUISA ORIENTADA","010000","244","3","CMB","00:00 às 23:00","Telma de Jesus Soares"
NA,"020000","244","6","CMB","00:00 às 23:00","Regiane Yatsuda"
NA,"030000","244","1","CMB","00:00 às 23:00","Gilvaneia Silva Santos"
NA,"040000","244","1","CMB","00:00 às 23:00","Docente Convenio"
NA,"050000","244","3","CMB","00:00 às 23:00","Robson Amaro Augusto da Silva"
NA,"060000","244","2","CMB","00:00 às 23:00","Amelia Cristina Mendes de Magalhaes Gusm"
NA,"070000","244","2","CMB","00:00 às 23:00","Lucas Miranda Marques"
NA,"080000","256","2","CMB","00:00 às 23:00","Telma de Jesus Soares"
NA,"090000","256","2","CMB","00:00 às 23:00","Amelia Cristina Mendes de Magalhaes Gusm"
NA,"110000","256","3","CMB","00:00 às 23:00","Regiane Yatsuda"
NA,"120000","256","1","CMB","00:00 às 23:00","Lucas Miranda Marques"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMSA69 - PROJETO DE DISSERTAÇÃO","010000","244","1","CMB","00:00 às 23:00","Regiane Yatsuda"
NA,"020000","244","1","CMB","00:00 às 23:00","Robson Amaro Augusto da Silva"
NA,"030000","244","1","CMB","00:00 às 23:00","Telma de Jesus Soares"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMSB43 - SEMINÁRIOS DE PESQUISA","010000","224","12","QUI","07:00 às 08:50","Tiana Baqueiro Figueiredo"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMSB44 - PESQUISA ORIENTADA","010000","224","2","CMB","00:00 às 23:00","Lucas Miranda Marques"
NA,"020000","224","4","CMB","00:00 às 23:00","Anderson Santos Souza"
NA,"030000","224","3","CMB","00:00 às 23:00","Tiana Baqueiro Figueiredo"
NA,"040000","224","7","CMB","00:00 às 23:00","Regiane Yatsuda"
NA,"050000","224","4","CMB","00:00 às 23:00","Mateus Freire Leite"
NA,"060000","224","4","CMB","00:00 às 23:00","Anderson Santos Souza"
NA,"070000","224","1","CMB","00:00 às 23:00","Leandro Martins de Freitas"
NA,"080000","224","1","CMB","00:00 às 23:00","Telma de Jesus Soares"
NA,"090000","224","1","CMB","00:00 às 23:00","Mario Andre Trindade Dantas"
NA,"110000","224","2","CMB","00:00 às 23:00","Alexandre Ribeiro do Espirito Santo"
NA,"120000","224","2","CMB","00:00 às 23:00","Marcio Cajazeira Aguiar"
NA,"130000","224","1","CMB","00:00 às 23:00","Anderson Santos Souza"
NA,"140000","224","1","CMB","00:00 às 23:00","Tiana Baqueiro Figueiredo"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMSB45 - TIROCÍNIO Á DOCÊNCIA (ESTÁGIO A DOCÊNCIA)","010000","224","1","CMB","00:00 às 23:00","Lucas Miranda Marques"
NA,"020000","224","1","CMB","00:00 às 23:00","Anderson Santos Souza"
NA,"030000","224","1","CMB","00:00 às 23:00","Tiana Baqueiro Figueiredo"
