"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IPSA01 - PSICOLOGIA I","010000","327","10","SEG","08:50 às 10:40","Docente Substituto a Contratar"
NA,NA,"301","30",NA,NA,"Docente Substituto a Contratar"
NA,NA,"387","5",NA,NA,"Docente Substituto a Contratar"
NA,NA,NA,NA,"QUA","08:50 às 10:40","Docente Substituto a Contratar"
NA,NA,"301","30",NA,NA,"Docente Substituto a Contratar"
NA,NA,"327","10",NA,NA,"Docente Substituto a Contratar"
NA,"020000","301","50","TER","08:50 às 10:40","Daniela Batista Santos"
NA,NA,"387","8",NA,NA,"Daniela Batista Santos"
NA,NA,"327","3",NA,NA,"Daniela Batista Santos"
NA,NA,"387","8","QUI","08:50 às 10:40","Daniela Batista Santos"
NA,NA,"301","50",NA,NA,"Daniela Batista Santos"
NA,NA,"327","3",NA,NA,"Daniela Batista Santos"
NA,"030000","226","2","SEG","10:40 às 12:30","Docente Substituto a Contratar"
NA,NA,"387","1",NA,NA,"Docente Substituto a Contratar"
NA,NA,"308","60",NA,NA,"Docente Substituto a Contratar"
NA,NA,"327","1",NA,NA,"Docente Substituto a Contratar"
NA,NA,"308","60","QUA","10:40 às 12:30","Docente Substituto a Contratar"
NA,NA,"226","2",NA,NA,"Docente Substituto a Contratar"
NA,NA,"327","1",NA,NA,"Docente Substituto a Contratar"
NA,NA,"387","1",NA,NA,"Docente Substituto a Contratar"
NA,"040000","308","60","TER","07:00 às 08:50","Yasmin Cunha de Oliveira"
NA,NA,NA,NA,"QUI","07:00 às 08:50","Yasmin Cunha de Oliveira"
NA,"050000","210","55","TER","16:40 às 18:30","Yasmin Cunha de Oliveira"
NA,NA,NA,NA,"QUI","16:40 às 18:30","Yasmin Cunha de Oliveira"
NA,"060000","387","10","TER","18:30 às 20:20","Daniela Batista Santos"
NA,NA,"380","10",NA,NA,"Daniela Batista Santos"
NA,NA,"286","5",NA,NA,"Daniela Batista Santos"
NA,NA,"327","6",NA,NA,"Daniela Batista Santos"
NA,NA,"208","10",NA,NA,"Daniela Batista Santos"
NA,NA,NA,NA,"QUI","18:30 às 20:20","Daniela Batista Santos"
NA,NA,"286","5",NA,NA,"Daniela Batista Santos"
NA,NA,"380","10",NA,NA,"Daniela Batista Santos"
NA,NA,"387","10",NA,NA,"Daniela Batista Santos"
NA,NA,"327","6",NA,NA,"Daniela Batista Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IPSA08 - TEORIAS  E SISTEMAS PSICOLOGICOS I","010000","327","2","SEG","10:40 às 12:30","Denise Maria Barreto Coutinho"
NA,NA,"515","1",NA,NA,"Denise Maria Barreto Coutinho"
NA,NA,"313","50",NA,NA,"Denise Maria Barreto Coutinho"
NA,NA,"387","2",NA,NA,"Denise Maria Barreto Coutinho"
NA,NA,NA,NA,"SEX","08:50 às 10:40","Denise Maria Barreto Coutinho"
NA,NA,"515","1",NA,NA,"Denise Maria Barreto Coutinho"
NA,NA,"313","50",NA,NA,"Denise Maria Barreto Coutinho"
NA,NA,"327","2",NA,NA,"Denise Maria Barreto Coutinho"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IPSA09 - TEORIAS  E SISTEMAS PSICOLOGICOS II","010000","515","1","SEG","08:50 às 10:40","Maria Alice Queiroz de Brito"
NA,NA,"313","50",NA,NA,"Maria Alice Queiroz de Brito"
NA,NA,"286","2",NA,NA,"Maria Alice Queiroz de Brito"
NA,NA,"387","5",NA,NA,"Maria Alice Queiroz de Brito"
NA,NA,"226","3",NA,NA,"Maria Alice Queiroz de Brito"
NA,NA,"327","5",NA,NA,"Maria Alice Queiroz de Brito"
NA,NA,"387","5","QUA","08:50 às 10:40","Maria Alice Queiroz de Brito"
NA,NA,"226","3",NA,NA,"Maria Alice Queiroz de Brito"
NA,NA,"515","1",NA,NA,"Maria Alice Queiroz de Brito"
NA,NA,"327","5",NA,NA,"Maria Alice Queiroz de Brito"
NA,NA,"286","2",NA,NA,"Maria Alice Queiroz de Brito"
NA,NA,"313","50",NA,NA,"Maria Alice Queiroz de Brito"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IPSA10 - TEORIAS E SISTEMAS PSICOLOGICOS III","010000","387","3","SEG","10:40 às 12:30","Fabricio de Souza"
NA,NA,"327","5",NA,NA,"Fabricio de Souza"
NA,NA,"515","2",NA,NA,"Fabricio de Souza"
NA,NA,"313","50",NA,NA,"Fabricio de Souza"
NA,NA,"226","3",NA,NA,"Fabricio de Souza"
NA,NA,"387","3","SEX","10:40 às 12:30","Fabricio de Souza"
NA,NA,"327","5",NA,NA,"Fabricio de Souza"
