"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IPSA01 - PSICOLOGIA I","010000","308","60","TER","07:00 às 08:50","Givanildo da Silva Nery"
NA,NA,NA,NA,"QUI","07:00 às 08:50","Givanildo da Silva Nery"
NA,"020000","314","2","SEG","07:00 às 08:50","Suzana Rosa de Almeida"
NA,NA,"301","40",NA,NA,"Suzana Rosa de Almeida"
NA,NA,NA,NA,"SEX","07:00 às 08:50","Suzana Rosa de Almeida"
NA,NA,"314","2",NA,NA,"Suzana Rosa de Almeida"
NA,"030000","301","40","TER","07:00 às 08:50","Ana Barbara Vieira Sinay Neves"
NA,NA,NA,NA,"QUI","07:00 às 08:50","Ana Barbara Vieira Sinay Neves"
NA,"040000","226","5","TER","08:50 às 10:40","Elisabete Figueroa dos Santos"
NA,NA,"380","10",NA,NA,"Elisabete Figueroa dos Santos"
NA,NA,"304","10",NA,NA,"Elisabete Figueroa dos Santos"
NA,NA,"226","5","QUI","08:50 às 10:40","Elisabete Figueroa dos Santos"
NA,NA,"304","10",NA,NA,"Elisabete Figueroa dos Santos"
NA,NA,"380","10",NA,NA,"Elisabete Figueroa dos Santos"
NA,"050000","210","52","TER","16:40 às 18:30","Suzana Rosa de Almeida"
NA,NA,"304","10",NA,NA,"Suzana Rosa de Almeida"
NA,NA,"380","10",NA,NA,"Suzana Rosa de Almeida"
NA,NA,NA,NA,"QUI","16:40 às 18:30","Suzana Rosa de Almeida"
NA,NA,"304","10",NA,NA,"Suzana Rosa de Almeida"
NA,NA,"210","52",NA,NA,"Suzana Rosa de Almeida"
NA,"060000","308","60","TER","10:40 às 12:30","Docente Substituto a Contratar"
NA,NA,NA,NA,"QUI","10:40 às 12:30","Docente Substituto a Contratar"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IPSA08 - TEORIAS  E SISTEMAS PSICOLOGICOS I","010000","313","90","SEX","08:50 às 10:40","Suely Aires Pontes"
NA,NA,NA,NA,NA,"10:40 às 12:30","Suely Aires Pontes"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IPSA09 - TEORIAS  E SISTEMAS PSICOLOGICOS II","010000","313","90","SEG","08:50 às 10:40","Maria Alice Queiroz de Britto"
NA,NA,NA,NA,NA,"10:40 às 12:30","Maria Alice Queiroz de Britto"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IPSA10 - TEORIAS E SISTEMAS PSICOLOGICOS III","010000","313","90","QUA","08:50 às 12:30","Ana Barbara Vieira Sinay Neves"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IPSA14 - PSICOLOGIA SOCIAL I","010100","382","60","TER","18:30 às 20:20","Eleonora Vaccarezza Santos"
NA,NA,NA,NA,"QUI","18:30 às 20:20","Eleonora Vaccarezza Santos"
NA,"020200","382","60","TER","20:20 às 22:10","Eleonora Vaccarezza Santos"
NA,NA,NA,NA,"QUI","20:20 às 22:10","Eleonora Vaccarezza Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IPSA39 - PSICOLOGIA DAS RELACOES HUMANAS","010000","313","3","SEX","13:00 às 16:40","Elisabete Figueroa dos Santos"
NA,NA,"112","15",NA,NA,"Elisabete Figueroa dos Santos"
NA,NA,"207","25",NA,NA,"Elisabete Figueroa dos Santos"
NA,"020000","203","10","QUA","07:00 às 08:50","Elisabete Figueroa dos Santos"
NA,NA,"314","30",NA,NA,"Elisabete Figueroa dos Santos"
NA,NA,"203","10","SEX","07:00 às 08:50","Elisabete Figueroa dos Santos"
NA,NA,"314","30",NA,NA,"Elisabete Figueroa dos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IPSA48 - ESTUDO DAS REPRESENTACOES SOCIAIS","010000","387","20","TER","13:55 às 17:35","Raimundo Candido de Gouveia"
NA,NA,"327","10",NA,NA,"Raimundo Candido de Gouveia"
NA,NA,"313","15",NA,NA,"Raimundo Candido de Gouveia"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
