"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ISC501 - ESTATISTICA DE SAUDE","010100","251","20","SEG","08:50 às 12:30","Guilherme de Sousa Ribeiro"
NA,NA,"233","20",NA,NA,"Guilherme de Sousa Ribeiro"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Guilherme de Sousa Ribeiro"
NA,NA,"251","20",NA,NA,"Guilherme de Sousa Ribeiro"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ISC504 - METODOS E TECNICAS DE ANALISE EPIDEMIOLOGICA II","010100","251","20","TER","08:50 às 12:30","Maria Ines Costa Dourado"
NA,NA,"233","20",NA,NA,"Maria Ines Costa Dourado"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Maria Ines Costa Dourado"
NA,NA,"251","20",NA,NA,"Maria Ines Costa Dourado"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ISC510 - EPIDEMIOLOGIA EM SAUDE COLETIVA","010100","251","10","SEG","13:00 às 16:40","Florisneide Rodrigues Barreto"
NA,NA,"233","10",NA,NA,"Florisneide Rodrigues Barreto"
NA,NA,"251","10","CMB","00:00 às 00:00","Florisneide Rodrigues Barreto"
NA,NA,"233","10",NA,NA,"Florisneide Rodrigues Barreto"
NA,"020200","251","10","SEG","13:00 às 16:40","Maria da Conceicao Nascimento Costa"
NA,NA,"233","10",NA,NA,"Maria da Conceicao Nascimento Costa"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Maria da Conceicao Nascimento Costa"
NA,NA,"251","10",NA,NA,"Maria da Conceicao Nascimento Costa"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ISC540 - EPISTEMOLOGIA E METODOLOGIA EM SAUDE","010000","233","10","QUA","08:50 às 11:35","Estela Maria Motta Lima Leao de Aquino"
NA,NA,"251","10",NA,NA,"Estela Maria Motta Lima Leao de Aquino"
NA,"020000","251","10","QUA","08:50 às 11:35","Jorge Alberto Bernstein Iriart"
NA,NA,"233","10",NA,NA,"Jorge Alberto Bernstein Iriart"
NA,"030000","251","10","QUA","08:50 às 11:35","Docente não informado pelo Departamento"
NA,NA,"233","10",NA,NA,"Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ISC541 - SAUDE, CULTURA E SOCIEDADE","010000","251","10","QUI","08:50 às 11:35","Litza Andrade Cunha"
NA,NA,"233","10",NA,NA,"Litza Andrade Cunha"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Litza Andrade Cunha"
NA,NA,"251","10",NA,NA,"Litza Andrade Cunha"
NA,"020000","251","10","QUI","08:50 às 11:35","Marcelo Eduardo Pfeiffer Castellanos"
NA,NA,"233","10",NA,NA,"Marcelo Eduardo Pfeiffer Castellanos"
NA,NA,"251","10","CMB","00:00 às 00:00","Marcelo Eduardo Pfeiffer Castellanos"
NA,NA,"233","10",NA,NA,"Marcelo Eduardo Pfeiffer Castellanos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ISC549 - METODOS DE ANALISE DE DADOS NAO ESTRUTURADOS II","010000","251","20","TER","13:00 às 16:40","Leny Alves Bomfim Trad"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Leny Alves Bomfim Trad"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ISC558 - SEMINARIO TEORICO DE CIENCIAS SOCIAIS EM SAUDE","010000","251","20","QUI","13:00 às 16:40","Monica de Oliveira Nunes De Torrente"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Monica de Oliveira Nunes De Torrente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ISC601 - SEMINARIO AVANCADO DE METODOLOGIA EPIDEMIOLOGICA","010000","251","10","TER","14:50 às 16:40","Vilma Sousa Santana"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Vilma Sousa Santana"
NA,"020000","251","10","TER","14:50 às 16:40","Federico Costa"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Federico Costa"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
