"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"LET001 - LÌNGUA PORTUGUESA I  N-100","010100","210","45","QUA","14:50 às 16:40","Ivan Pedro Santos Nascimento"
NA,NA,NA,NA,"SEX","14:50 às 16:40","Ivan Pedro Santos Nascimento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"LET032 - PALEOGRAFIA ECDOTICA IV  N-100","010000","310","20","QUI","18:30 às 21:15","Alicia Duha Lose"
NA,NA,"387","5",NA,NA,"Alicia Duha Lose"
NA,NA,"580","5",NA,NA,"Alicia Duha Lose"
NA,NA,"386","15",NA,NA,"Alicia Duha Lose"
NA,"020000","580","5","SEX","13:00 às 15:45","Alicia Duha Lose"
NA,NA,"327","2",NA,NA,"Alicia Duha Lose"
NA,NA,"387","2",NA,NA,"Alicia Duha Lose"
NA,NA,"310","20",NA,NA,"Alicia Duha Lose"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"LET044 - LÍNGUA PORTUGUESA COMO INSTRUMENTO DE COMUNICAÇÃO N-100","010100","317","5","SEG","13:00 às 14:50","Maria do Carmo Pascoli"
NA,NA,"209","40",NA,NA,"Maria do Carmo Pascoli"
NA,NA,"317","5","QUA","13:00 às 14:50","Maria do Carmo Pascoli"
NA,NA,"209","40",NA,NA,"Maria do Carmo Pascoli"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"LET053 - INGLES INSTRUMENTAL I  N-100","010000","196","7","SEX","13:00 às 14:50","Lucas Moreira Soares de Souza"
NA,NA,"380","7",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"189","6",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"317","5",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"116","3",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"286","5",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"304","7",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"381","5",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"380","7",NA,"14:50 às 15:45","Lucas Moreira Soares de Souza"
NA,NA,"381","5",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"286","5",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"304","7",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"317","5",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"116","3",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"189","6",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,"196","7",NA,NA,"Lucas Moreira Soares de Souza"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"LET054 - INGLES INSTRUMENTAL II  N-100","010000","304","5","SEX","15:45 às 16:40","Marta Deysiane Alves Faria Sousa"
NA,NA,"317","15",NA,NA,"Marta Deysiane Alves Faria Sousa"
NA,NA,"327","5",NA,NA,"Marta Deysiane Alves Faria Sousa"
NA,NA,"387","5",NA,NA,"Marta Deysiane Alves Faria Sousa"
NA,NA,"381","15",NA,NA,"Marta Deysiane Alves Faria Sousa"
NA,NA,"387","5",NA,"16:40 às 18:30","Marta Deysiane Alves Faria Sousa"
NA,NA,"381","15",NA,NA,"Marta Deysiane Alves Faria Sousa"
NA,NA,"327","5",NA,NA,"Marta Deysiane Alves Faria Sousa"
NA,NA,"304","5",NA,NA,"Marta Deysiane Alves Faria Sousa"
NA,NA,"317","15",NA,NA,"Marta Deysiane Alves Faria Sousa"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"LET066 - INTROD. AOS ESTUD.LINGUISTICOS","010000","327","2","QUA","08:50 às 10:40","Denise Maria Oliveira Zoghbi"
NA,NA,"303","30",NA,NA,"Denise Maria Oliveira Zoghbi"
NA,NA,NA,NA,"SEX","08:50 às 10:40","Denise Maria Oliveira Zoghbi"
NA,NA,"327","2",NA,NA,"Denise Maria Oliveira Zoghbi"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"LET330 - EST.LIT.GALEGA CONTEMPORANEA N- 100","010100","403","5","QUA","10:40 às 12:30","Docente Leitor"
NA,NA,"515","5",NA,NA,"Docente Leitor"
NA,NA,"481","5",NA,NA,"Docente Leitor"
