"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MAT508 - ANALISE NO RN","010100","133","10","SEG","13:00 às 14:50","Thiago Bomfim Sao Luiz Nunes"
NA,NA,NA,NA,"QUA","13:00 às 14:50","Thiago Bomfim Sao Luiz Nunes"
NA,NA,NA,NA,"SEX","13:00 às 14:50","Thiago Bomfim Sao Luiz Nunes"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MAT509 - GEOMETRIA DIFERENCIAL","010100","133","10","SEG","16:40 às 18:30","Jaime Leonardo Orjuela Chamorro"
NA,NA,NA,NA,"QUA","16:40 às 18:30","Jaime Leonardo Orjuela Chamorro"
NA,NA,NA,NA,"SEX","16:40 às 18:30","Jaime Leonardo Orjuela Chamorro"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MAT512 - VARIAVEIS COMPLEXAS","010100","133","10","SEG","14:50 às 16:40","Vilton Jeovan Viana Pinheiro"
NA,NA,NA,NA,"QUA","14:50 às 16:40","Vilton Jeovan Viana Pinheiro"
NA,NA,NA,NA,"SEX","14:50 às 16:40","Vilton Jeovan Viana Pinheiro"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MAT518 - TÓPICOS DE ANÁLISE","010100","133","10","SEG","10:40 às 12:30","Luciana Silva Salgado"
NA,NA,NA,NA,"QUA","10:40 às 12:30","Juan Andres Gonzalez Marin"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MAT566 - SISTEMAS OPERACIONAIS","010000","701","5","TER","08:50 às 11:35","Vinicius Tavares Petrucci"
NA,NA,"112","8",NA,NA,"Vinicius Tavares Petrucci"
NA,NA,"195","2",NA,NA,"Vinicius Tavares Petrucci"
NA,NA,"169","25",NA,NA,"Vinicius Tavares Petrucci"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MAT571 - SISTEMAS DE TEMPO REAL","010000","169","20","QUA","15:45 às 18:30","George Marconi de Araujo Lima"
NA,NA,"145","20",NA,NA,"George Marconi de Araujo Lima"
NA,NA,"153","15",NA,NA,"George Marconi de Araujo Lima"
NA,NA,"701","10",NA,NA,"George Marconi de Araujo Lima"
NA,NA,NA,NA,NA,NA,"Paul Denis Etienne Regnier"
NA,NA,"153","15",NA,NA,"Paul Denis Etienne Regnier"
NA,NA,"145","20",NA,NA,"Paul Denis Etienne Regnier"
NA,NA,"169","20",NA,NA,"Paul Denis Etienne Regnier"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MAT700 - TOPICOS ESPECIAIS EM MECATRONICA II","010000","701","5","TER","08:50 às 11:35","Daniela Barreiro Claro"
NA,NA,"145","15",NA,NA,"Daniela Barreiro Claro"
NA,NA,"169","5",NA,NA,"Daniela Barreiro Claro"
NA,NA,"153","10",NA,NA,"Daniela Barreiro Claro"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MAT701 - TOPICOS ESPECIAIS EM MECATRONICA IV","010000","145","20","QUA","08:50 às 11:35","Aline Maria Santos Andrade"
NA,NA,"169","5",NA,NA,"Aline Maria Santos Andrade"
NA,NA,"112","3",NA,NA,"Aline Maria Santos Andrade"
NA,NA,"153","15",NA,NA,"Aline Maria Santos Andrade"
NA,NA,"195","2",NA,NA,"Aline Maria Santos Andrade"
NA,NA,"701","5",NA,NA,"Aline Maria Santos Andrade"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MAT790 - PESQUISA ORIENTADA","010000","133","6","CMB","00:00 às 23:00","Joilson Oliveira Ribeiro"
NA,NA,"003","1",NA,NA,"Joilson Oliveira Ribeiro"
NA,"020000","133","5","CMB","00:00 às 23:00","Giovana Oliveira Silva"
NA,"030000","133","5","CMB","00:00 às 23:00","Luciana Silva Salgado"
NA,"040000","133","5","CMB","00:00 às 23:00","Joilson Oliveira Ribeiro"
NA,"050000","133","5","CMB","00:00 às 23:00","Thierry Correa Petit Lobao"
