"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MED500 - SEMINARIOS DE SAUDE PUBLICA","010000","232","60","CMB","00:00 às 23:00","Luiz Antonio Rodrigues de Freitas"
NA,NA,NA,NA,NA,NA,"Claudia Ida Brodskyn"
NA,NA,NA,NA,NA,NA,"Ramon dos Santos El Bacha"
NA,NA,NA,NA,NA,NA,"Mitermayer Galvao dos Reis"
NA,NA,NA,NA,NA,NA,"Washington Luis Conrado dos Santos"
NA,NA,NA,NA,NA,NA,"Antonio Ricardo Khouri Cunha"
NA,NA,NA,NA,NA,NA,"Jaqueline Franca Costa"
NA,NA,NA,NA,NA,NA,"Deborah Bittencourt Mothe Fraga"
NA,NA,NA,NA,NA,NA,"Daniel Abensur Athanazio"
NA,NA,NA,NA,NA,NA,"Clarissa Araujo Gurgel Rocha"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MED504 - BIOESTATISTICA","010000","253","50","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,NA,"231","50",NA,NA,"Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MED512 - PATOLOGIA EXPERIMENTAL II","010101","250","45","CMB","00:00 às 23:00","Luiz Antonio Rodrigues de Freitas"
NA,NA,NA,NA,NA,NA,"Washington Luis Conrado dos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MED563 - METODOLOGIA DA PESQUISA E BIOESTATISTICA","010000","232","60","CMB","00:00 às 23:00","Ramon dos Santos El Bacha"
NA,NA,NA,NA,NA,NA,"Clarissa Araujo Gurgel Rocha"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MED566 - DIDATICA ESPECIAL","010000","232","40","CMB","00:00 às 23:00","Claudia Ida Brodskyn"
NA,NA,"250","20",NA,NA,"Claudia Ida Brodskyn"
NA,NA,"232","40",NA,NA,"Jaqueline Franca Costa"
NA,NA,"250","20",NA,NA,"Jaqueline Franca Costa"
NA,"020000","250","20","CMB","00:00 às 23:00","Claudia Ida Brodskyn"
NA,NA,NA,NA,NA,NA,"Jaqueline Franca Costa"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MED574 - PSICOLOGIA MÉDICA","010000","253","50","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,"020000","231","50","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MED580 - PATOLOGIA ESPECIAL III","010101","250","32","CMB","00:00 às 23:00","Luiz Antonio Rodrigues de Freitas"
NA,NA,NA,NA,NA,NA,"Mitermayer Galvao dos Reis"
NA,NA,NA,NA,NA,NA,"Washington Luis Conrado dos Santos"
NA,NA,NA,NA,NA,NA,"Daniel Abensur Athanazio"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MED626 - PEDAGOGIA E DIDÁTICA ESPECIAL","010100","253","50","CMB","00:00 às 23:00","Andre Luiz Peixinho"
NA,"020200","231","50","CMB","00:00 às 23:00","Andre Luiz Peixinho"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MED627 - METODOLOGIA DA PESQUISA","010100","253","100","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,"Argemiro D Oliveira Junior"
NA,NA,NA,NA,NA,NA,"Andre Rodrigues Duraes"
NA,"020200","231","50","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,"Argemiro D Oliveira Junior"
NA,NA,NA,NA,NA,NA,"Andre Rodrigues Duraes"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MED653 - METODOS E TECNICAS EM BIOLOGIA CELULAR","010100","232","40","CMB","00:00 às 23:00","Luiz Antonio Rodrigues de Freitas"
