"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MEV526 - TOPICOS EM SAUDE ANIMAL","010000","247","20","QUA","13:00 às 15:45","Arianne Pontes Oria"
NA,NA,"265","20",NA,NA,"Arianne Pontes Oria"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MEV527 - SEMINARIO DE PESQUISA I","010000","247","20","SEX","09:45 às 10:40","Carlos Roberto Franke"
NA,NA,"265","30",NA,NA,"Carlos Roberto Franke"
NA,NA,NA,NA,NA,"10:40 às 11:35","Carlos Roberto Franke"
NA,NA,"247","20",NA,NA,"Carlos Roberto Franke"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MEV538 - TOPICOS EM TOXICOLOGIA APLICADA A MEDICINA VETERINARIA","010000","247","20","TER","13:00 às 13:55","Maria Jose Moreira Batatinha"
NA,NA,"265","20",NA,NA,"Maria Jose Moreira Batatinha"
NA,NA,"247","20","QUI","13:00 às 13:55","Maria Jose Moreira Batatinha"
NA,NA,"265","20",NA,NA,"Maria Jose Moreira Batatinha"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MEV540 - FISIOLOGIA DA REPRODUCAO DA FEMEA","010000","265","20","SEG","09:45 às 10:40","Alberto Lopes Gusmao"
NA,NA,"247","20",NA,NA,"Alberto Lopes Gusmao"
NA,NA,"265","20",NA,"10:40 às 11:35","Alberto Lopes Gusmao"
NA,NA,"247","20",NA,NA,"Alberto Lopes Gusmao"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MEV700 - TOPICOS EM HEMATOLOGIA VETERINARIA","010100","247","20","SEG","13:55 às 15:45","Maria Consuelo Caribe Ayres"
NA,NA,"265","20",NA,NA,"Maria Consuelo Caribe Ayres"
NA,NA,NA,NA,NA,"15:45 às 16:40","Maria Consuelo Caribe Ayres"
NA,NA,"247","20",NA,NA,"Maria Consuelo Caribe Ayres"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MEV790 - PESQUISA ORIENTADA","010000","265","6","CMB","00:00 às 23:00","Alessandra Estrela da Silva Lima"
NA,NA,"247","8",NA,NA,"Alessandra Estrela da Silva Lima"
NA,"020000","265","6","CMB","00:00 às 23:00","Antonio de Lisboa Ribeiro Filho"
NA,NA,"247","2",NA,NA,"Antonio de Lisboa Ribeiro Filho"
NA,"030000","265","6","CMB","00:00 às 23:00","Arianne Pontes Oria"
NA,NA,"247","8",NA,NA,"Arianne Pontes Oria"
NA,"040000","265","3","CMB","00:00 às 23:00","Alessandra Estrela da Silva Lima"
NA,NA,"247","4",NA,NA,"Alessandra Estrela da Silva Lima"
NA,"050000","265","10","CMB","00:00 às 23:00","Carlos Roberto Franke"
NA,NA,"247","6",NA,NA,"Carlos Roberto Franke"
NA,"060000","265","3","CMB","00:00 às 23:00","Claudio Vaz Di Mambro Ribeiro"
NA,NA,"247","2",NA,NA,"Claudio Vaz Di Mambro Ribeiro"
NA,"070000","247","2","CMB","00:00 às 23:00","Alessandra Estrela da Silva Lima"
NA,NA,"265","4",NA,NA,"Alessandra Estrela da Silva Lima"
NA,"080000","265","4","CMB","00:00 às 23:00","Gleidson Giordano Pinto de Carvalho"
NA,NA,"247","2",NA,NA,"Gleidson Giordano Pinto de Carvalho"
NA,"090000","265","2","CMB","00:00 às 23:00","Joao Moreira da Costa Neto"
NA,NA,"247","10",NA,NA,"Joao Moreira da Costa Neto"
NA,"100000","265","4","CMB","00:00 às 23:00","Alessandra Estrela da Silva Lima"
NA,NA,"247","2",NA,NA,"Alessandra Estrela da Silva Lima"
NA,"110000","265","4","CMB","00:00 às 23:00","Luis Fernando Batista Pinto"
NA,NA,"247","2",NA,NA,"Luis Fernando Batista Pinto"
NA,"120000","265","3","CMB","00:00 às 23:00","Luis Fernando Pita Gondim"
NA,NA,"247","4",NA,NA,"Luis Fernando Pita Gondim"
NA,"130000","265","6","CMB","00:00 às 23:00","Maria Angela Ornelas de Almeida"
NA,NA,"247","2",NA,NA,"Maria Angela Ornelas de Almeida"
NA,"140000","265","2","CMB","00:00 às 23:00","Maria Consuelo Caribe Ayres"
NA,NA,"247","2",NA,NA,"Maria Consuelo Caribe Ayres"
NA,"150000","265","3","CMB","00:00 às 23:00","Alessandra Estrela da Silva Lima"
NA,NA,"247","2",NA,NA,"Alessandra Estrela da Silva Lima"
