"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MUS003 - PERCEPÇÃO MUSICAL I","010000","514","25","SEG","11:35 às 12:30","Maria Thereza Pita Gondim"
NA,NA,NA,NA,"QUA","11:35 às 12:30","Maria Thereza Pita Gondim"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MUS004 - PERCEPÇÃO MUSICAL II","010000","514","20","SEG","17:35 às 18:30","Docente não informado pelo Departamento"
NA,NA,NA,NA,"QUA","17:35 às 18:30","Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MUS005 - PERCEPÇÃO MUSICAL III","010000","514","20","SEG","07:55 às 08:50","Pedro Augusto Silva Dias"
NA,NA,NA,NA,"QUA","07:55 às 08:50","Pedro Augusto Silva Dias"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MUS008 - MUSICA E RITMO","010100","581","2","SEG","08:50 às 10:40","Docente não informado pelo Departamento"
NA,NA,"226","2",NA,NA,"Docente não informado pelo Departamento"
NA,NA,"503","5",NA,NA,"Docente não informado pelo Departamento"
NA,NA,"189","2",NA,NA,"Docente não informado pelo Departamento"
NA,NA,"387","3",NA,NA,"Docente não informado pelo Departamento"
NA,NA,"515","6",NA,NA,"Docente não informado pelo Departamento"
NA,NA,"387","3","QUA","08:50 às 10:40","Docente não informado pelo Departamento"
NA,NA,"226","2",NA,NA,"Docente não informado pelo Departamento"
NA,NA,"189","2",NA,NA,"Docente não informado pelo Departamento"
NA,NA,"503","5",NA,NA,"Docente não informado pelo Departamento"
NA,NA,"581","2",NA,NA,"Docente não informado pelo Departamento"
NA,NA,"515","6",NA,NA,"Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MUS020 - INSTRUMENTO SUPLEMENTAR I","010001","514","15","CMB","00:00 às 23:00","Alfredo Jose Moura de Assis"
NA,"020002","514","15","CMB","00:00 às 23:00","Alexandre Leite de Avila"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MUS182 - APRECIACAO MUSICAL","010000","515","5","TER","16:40 às 18:30","Laila Andresa Cavalcante Rosa"
NA,NA,"507","15",NA,NA,"Laila Andresa Cavalcante Rosa"
NA,NA,"509","2",NA,NA,"Laila Andresa Cavalcante Rosa"
NA,NA,"508","2",NA,NA,"Laila Andresa Cavalcante Rosa"
NA,NA,"502","2",NA,NA,"Laila Andresa Cavalcante Rosa"
NA,NA,"286","2",NA,NA,"Laila Andresa Cavalcante Rosa"
NA,NA,"189","2",NA,NA,"Laila Andresa Cavalcante Rosa"
NA,NA,"286","2",NA,"18:30 às 19:25","Laila Andresa Cavalcante Rosa"
NA,NA,"502","2",NA,NA,"Laila Andresa Cavalcante Rosa"
NA,NA,"507","15",NA,NA,"Laila Andresa Cavalcante Rosa"
NA,NA,"189","2",NA,NA,"Laila Andresa Cavalcante Rosa"
NA,NA,"509","2",NA,NA,"Laila Andresa Cavalcante Rosa"
NA,NA,"508","2",NA,NA,"Laila Andresa Cavalcante Rosa"
NA,NA,"515","5",NA,NA,"Laila Andresa Cavalcante Rosa"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MUS187 - PSICOLOGIA MUSICAL","010000","515","3","SEG","08:50 às 11:35","Diana Santiago da Fonseca"
NA,NA,"509","2",NA,NA,"Diana Santiago da Fonseca"
NA,NA,"508","1",NA,NA,"Diana Santiago da Fonseca"
NA,NA,"502","2",NA,NA,"Diana Santiago da Fonseca"
NA,NA,"507","9",NA,NA,"Diana Santiago da Fonseca"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MUS200 - INSTRUMENTO I","010000","514","10","CMB","00:00 às 23:00","Rowney Archibald Scott Junior"
NA,"020000","514","10","CMB","00:00 às 23:00","Alex Augusto Mesquita Costa"
NA,"030000","514","10","CMB","00:00 às 23:00","Alexandre Leite de Avila"
NA,"040000","514","10","CMB","00:00 às 23:00","Ivan Bastos de Araujo Costa"
NA,"050000","514","10","CMB","00:00 às 23:00","Uira Nogueira de Barros Cairo"
