"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"NUT123 - TECNOLOGIA DOS ALIMENTOS II","010100","207","10","TER","09:00 às 11:00","Ryzia de Cassia Vieira Cardoso"
NA,NA,NA,NA,NA,NA,"Dalva Maria da Nobrega Furtunato"
NA,NA,NA,NA,"QUI","09:00 às 11:00","Ryzia de Cassia Vieira Cardoso"
NA,NA,NA,NA,NA,NA,"Dalva Maria da Nobrega Furtunato"
NA,"010200","207","10","TER","11:00 às 13:00","Ryzia de Cassia Vieira Cardoso"
NA,NA,NA,NA,NA,NA,"Dalva Maria da Nobrega Furtunato"
NA,NA,NA,NA,"QUI","09:00 às 11:00","Ryzia de Cassia Vieira Cardoso"
NA,NA,NA,NA,NA,NA,"Dalva Maria da Nobrega Furtunato"
NA,"010300","207","10","QUA","13:00 às 15:00","Ryzia de Cassia Vieira Cardoso"
NA,NA,NA,NA,NA,NA,"Dalva Maria da Nobrega Furtunato"
NA,NA,NA,NA,"QUI","09:00 às 11:00","Ryzia de Cassia Vieira Cardoso"
NA,NA,NA,NA,NA,NA,"Dalva Maria da Nobrega Furtunato"
NA,"010400","207","10","QUA","15:00 às 17:00","Ryzia de Cassia Vieira Cardoso"
NA,NA,NA,NA,"QUI","09:00 às 11:00","Ryzia de Cassia Vieira Cardoso"
NA,NA,NA,NA,NA,NA,"Dalva Maria da Nobrega Furtunato"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"NUT124 - HIGIENE E INSP DOS ALIMENTOS I","010100","207","10","TER","09:00 às 11:00","Rogeria Comastri de Castro Almeida"
NA,NA,NA,NA,"QUI","09:00 às 11:00","Rogeria Comastri de Castro Almeida"
NA,"010200","207","10","TER","11:00 às 13:00","Jeane Ferreira Costa"
NA,NA,NA,NA,"QUI","09:00 às 11:00","Rogeria Comastri de Castro Almeida"
NA,"010300","207","10","TER","13:00 às 15:00","Jeane Ferreira Costa"
NA,NA,NA,NA,"QUI","09:00 às 11:00","Rogeria Comastri de Castro Almeida"
NA,"010400","207","10","QUA","09:00 às 11:00","Rogeria Comastri de Castro Almeida"
NA,NA,NA,NA,"QUI","09:00 às 11:00","Rogeria Comastri de Castro Almeida"
NA,"010500","207","10","QUA","11:00 às 13:00","Rogeria Comastri de Castro Almeida"
NA,NA,NA,NA,"QUI","09:00 às 11:00","Rogeria Comastri de Castro Almeida"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"NUT129 - TOXICOLOGIA DOS ALIMENTOS","010100","207","10","QUA","09:00 às 11:00","Neuza Maria Miranda dos Santos"
NA,NA,NA,NA,NA,"11:00 às 13:00","Neuza Maria Miranda dos Santos"
NA,"010200","207","10","QUA","09:00 às 11:00","Neuza Maria Miranda dos Santos"
NA,NA,NA,NA,NA,"13:00 às 15:00","Neuza Maria Miranda dos Santos"
NA,"010300","207","10","QUA","09:00 às 11:00","Neuza Maria Miranda dos Santos"
NA,NA,NA,NA,"SEX","07:00 às 09:00","Ivaldo Nidio Sitonio Trigueiro"
NA,"010400","207","10","QUA","09:00 às 11:00","Neuza Maria Miranda dos Santos"
NA,NA,NA,NA,"SEX","09:00 às 11:00","Ivaldo Nidio Sitonio Trigueiro"
NA,"010500","207","10","QUA","09:00 às 11:00","Neuza Maria Miranda dos Santos"
NA,NA,NA,NA,"SEX","11:00 às 13:00","Neuza Maria Miranda dos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"NUT130 - CONTROLE DE QUAL DOS ALIMENTOS","010100","207","8","QUA","07:00 às 09:00","Ivaldo Nidio Sitonio Trigueiro"
NA,NA,NA,NA,NA,"09:00 às 11:00","Ivaldo Nidio Sitonio Trigueiro"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"NUT132 - TECN ESP CONSERV DOS ALIMENTOS","010100","207","10","TER","15:00 às 17:00","Jose Angelo Wenceslau Goes"
NA,NA,NA,NA,"QUA","13:00 às 15:00","Jose Angelo Wenceslau Goes"
NA,"010200","207","10","TER","15:00 às 17:00","Jose Angelo Wenceslau Goes"
NA,NA,NA,NA,"QUA","15:00 às 17:00","Jose Angelo Wenceslau Goes"
NA,"010300","207","10","TER","15:00 às 17:00","Jose Angelo Wenceslau Goes"
NA,NA,NA,NA,"QUI","13:00 às 15:00","Jose Angelo Wenceslau Goes"
NA,"010400","207","10","TER","15:00 às 17:00","Jose Angelo Wenceslau Goes"
NA,NA,NA,NA,"QUI","15:00 às 17:00","Jose Angelo Wenceslau Goes"
