"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"NUT530 - TEMAS CONTEMPORANEOS EM ALIMENTOS","010000","229","5","SEX","08:50 às 10:40","Docente Visitante"
NA,NA,"257","4",NA,NA,"Docente Visitante"
NA,NA,"229","5",NA,NA,"Itaciara Larroza Nunes"
NA,NA,"257","4",NA,NA,"Itaciara Larroza Nunes"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"NUT790 - PESQUISA ORIENTADA","010000","257","1","CMB","00:00 às 23:00","Ana Marlucia de Oliveira"
NA,"020000","257","1","CMB","00:00 às 23:00","Deusdelia Teixeira de Almeida"
NA,"030000","257","1","CMB","00:00 às 23:00","Deusdelia Teixeira de Almeida"
NA,"040000","257","1","CMB","00:00 às 23:00","Jairza Maria Barreto Medeiros"
NA,"050000","257","1","CMB","00:00 às 23:00","Ligia Amparo da Silva Santos"
NA,"060000","257","1","CMB","00:00 às 23:00","Ligia Amparo da Silva Santos"
NA,"070000","257","1","CMB","00:00 às 23:00","Ligia Amparo da Silva Santos"
NA,"080000","257","1","CMB","00:00 às 23:00","Lucivalda Pereira Magalhaes de Oliveira"
NA,"090000","257","1","CMB","00:00 às 23:00","Monica Leila Portela de Santana"
NA,"100000","257","1","CMB","00:00 às 23:00","Raquel Rocha dos Santos"
NA,"110000","257","1","CMB","00:00 às 23:00","Docente Visitante"
NA,"120000","257","1","CMB","00:00 às 23:00","Rita de Cassia Ribeiro Silva"
NA,"130000","257","1","CMB","00:00 às 23:00","Ryzia de Cassia Vieira Cardoso"
NA,"140000","257","1","CMB","00:00 às 23:00","Ryzia de Cassia Vieira Cardoso"
NA,"150000","257","1","CMB","00:00 às 23:00","Ryzia de Cassia Vieira Cardoso"
NA,"160000","257","1","CMB","00:00 às 23:00","Sandra Maria Chaves dos Santos"
NA,"170000","257","1","CMB","00:00 às 23:00","Sandra Santos Valois"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"NUT792 - TRABALHO DE CONCLUSAO","010000","257","1","CMB","00:00 às 23:00","Ana Marlucia de Oliveira"
NA,"020000","257","1","CMB","00:00 às 23:00","Ana Marlucia de Oliveira"
NA,"030000","257","1","CMB","00:00 às 23:00","Carla Hilario da Cunha Daltro"
NA,"040000","257","1","CMB","00:00 às 23:00","Deusdelia Teixeira de Almeida"
NA,"050000","257","1","CMB","00:00 às 23:00","Itaciara Larroza Nunes"
NA,"060000","257","1","CMB","00:00 às 23:00","Ligia Amparo da Silva Santos"
NA,"070000","257","1","CMB","00:00 às 23:00","Ligia Amparo da Silva Santos"
NA,"080000","257","1","CMB","00:00 às 23:00","Lilian Barbosa Ramos"
NA,"090000","257","1","CMB","00:00 às 23:00","Lilian Barbosa Ramos"
NA,"100000","257","1","CMB","00:00 às 23:00","Lilian Barbosa Ramos"
NA,"110000","257","1","CMB","00:00 às 23:00","Monica Leila Portela de Santana"
NA,"120000","257","1","CMB","00:00 às 23:00","Monica Leila Portela de Santana"
NA,"130000","257","1","CMB","00:00 às 23:00","Rita de Cassia Ribeiro Silva"
NA,"140000","257","1","CMB","00:00 às 23:00","Sandra Maria Chaves dos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"NUT793 - PRATICA DE ENSINO EM ALIMENTOS E NUTRICAO","010000","257","20","CMB","00:00 às 23:00","Ligia Amparo da Silva Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"NUT794 - SEMINARIO DE PESQUISA EM ALIMENTOS E NUTRICAO","010000","257","31","SEX","08:50 às 10:40","Jairza Maria Barreto Medeiros"
NA,NA,NA,NA,NA,NA,"Lilian Barbosa Ramos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"NUTA78 - TE - TÉCNICAS DE REDAÇÃO DE ARTIGOS","010000","257","10","QUI","16:40 às 18:30","Sandra Maria Chaves dos Santos"
NA,NA,NA,NA,NA,"18:30 às 19:25","Sandra Maria Chaves dos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"NUTA87 - SEGURANÇA ALIMENTAR E NUTRICIONAL","010000","257","16","QUI","13:55 às 16:40","Sandra Maria Chaves dos Santos"
NA,NA,"229","20",NA,NA,"Sandra Maria Chaves dos Santos"
