"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"QUI528 - FISICO-QUIMICA AVANCADA","010000","154","10","SEG","07:00 às 10:40","Marcos Malta dos Santos"
NA,NA,"134","10",NA,NA,"Marcos Malta dos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"QUI533 - CATALISE HETEROGENEA","010000","134","10","TER","07:00 às 08:50","Heloysa Martins Carvalho Andrade"
NA,NA,"154","10",NA,NA,"Heloysa Martins Carvalho Andrade"
NA,NA,"134","10","QUI","07:00 às 08:50","Heloysa Martins Carvalho Andrade"
NA,NA,"154","10",NA,NA,"Heloysa Martins Carvalho Andrade"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"QUI537 - SINTESES ORGANICAS","010000","154","8","SEG","14:50 às 16:40","Mauricio Moraes Victor"
NA,NA,"134","7",NA,NA,"Mauricio Moraes Victor"
NA,NA,NA,NA,"QUA","14:50 às 16:40","Mauricio Moraes Victor"
NA,NA,"154","8",NA,NA,"Mauricio Moraes Victor"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"QUI543 - QUIMICA INORGANICA AVANCADA","010000","154","8","TER","08:50 às 10:40","Artur Jose Santos Mascarenhas"
NA,NA,"134","10",NA,NA,"Artur Jose Santos Mascarenhas"
NA,NA,"154","8","QUI","08:50 às 10:40","Artur Jose Santos Mascarenhas"
NA,NA,"134","10",NA,NA,"Artur Jose Santos Mascarenhas"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"QUI546 - QUIMICA DOS COMPOSTOS INORGANICOS","010000","134","10","CMB","00:00 às 23:00","Zenis Novais da Rocha"
NA,NA,"154","8",NA,NA,"Zenis Novais da Rocha"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"QUI554 - QUIMICA ATMOSFERICA","010000","154","10","QUI","08:50 às 11:35","Gisele Olimpio da Rocha"
NA,NA,"134","10",NA,NA,"Gisele Olimpio da Rocha"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"QUI555 - QUIMICA DA HIDROSFERA","010000","154","13","TER","13:00 às 15:45","Vania Palmeira Campos"
NA,NA,"134","12",NA,NA,"Vania Palmeira Campos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"QUI565 - ESTUDOS AVANCADOS EM CROMATOGRAFIA","010100","154","10","SEX","07:55 às 11:35","Pedro Afonso de Paula Pereira"
NA,NA,"134","3",NA,NA,"Pedro Afonso de Paula Pereira"
NA,NA,"154","10","CMB","00:00 às 00:00","Pedro Afonso de Paula Pereira"
NA,NA,"134","3",NA,NA,"Pedro Afonso de Paula Pereira"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"QUI702 - TEQI - CIENCIA E INOVACAO","010000","154","10","SEX","13:00 às 14:50","Cristina Maria Assis Lopes Tavares da Ma"
NA,NA,"134","20",NA,NA,"Cristina Maria Assis Lopes Tavares da Ma"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"QUI790 - PESQUISA ORIENTADA","010000","154","100","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,NA,"134","200",NA,NA,"Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"QUI792 - PROJETO DE DISSERTACAO","010000","134","100","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"QUI793 - PROJETO DE TESE","010000","154","100","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
