"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"TEA003 - TECNICAS BASICAS DO TEATRO","010100","108","1","TER","13:00 às 14:50","Docente Substituto a Contratar"
NA,NA,"515","2",NA,NA,"Docente Substituto a Contratar"
NA,NA,"506","15",NA,NA,"Docente Substituto a Contratar"
NA,NA,"385","5",NA,NA,"Docente Substituto a Contratar"
NA,NA,"506","15","QUI","13:00 às 14:50","Docente Substituto a Contratar"
NA,NA,"385","5",NA,NA,"Docente Substituto a Contratar"
NA,NA,"515","2",NA,NA,"Docente Substituto a Contratar"
NA,NA,"108","1",NA,NA,"Docente Substituto a Contratar"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"TEA060 - ELEMENTOS DE TEATRO I","010000","515","3","SEX","07:55 às 10:40","Diocelio Batista Barbosa"
NA,NA,"506","36",NA,NA,"Diocelio Batista Barbosa"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"TEA085 - DICCAO I","010100","210","1","SEG","15:45 às 17:35","Ana Flavia Andrade Hamad"
NA,NA,"314","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"116","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"581","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"190","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"515","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"505","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"509","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"387","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"514","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"502","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"189","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"501","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"327","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"580","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"508","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"503","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"385","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"190","2","QUA","15:45 às 17:35","Ana Flavia Andrade Hamad"
NA,NA,"327","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"189","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"116","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"581","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"580","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"505","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"515","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"509","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"503","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"502","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"508","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"210","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"514","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"387","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"501","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"385","1",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"314","2",NA,NA,"Ana Flavia Andrade Hamad"
NA,"020200","515","2","SEG","13:55 às 15:45","Ana Flavia Andrade Hamad"
NA,NA,"506","25",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,"515","2","QUA","13:55 às 15:45","Ana Flavia Andrade Hamad"
NA,NA,"506","25",NA,NA,"Ana Flavia Andrade Hamad"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"TEA093 - ANÁLISE DE TEXTO","010100","515","4","SEX","08:50 às 11:35","Antonia Pereira Bezerra"
NA,NA,"506","40",NA,NA,"Antonia Pereira Bezerra"
NA,NA,"515","4",NA,"11:35 às 12:30","Antonia Pereira Bezerra"
NA,NA,"506","40",NA,NA,"Antonia Pereira Bezerra"
NA,"020200","580","4","SEG","14:50 às 17:35","Antonia Pereira Bezerra"
NA,NA,"506","40",NA,NA,"Antonia Pereira Bezerra"
NA,NA,NA,NA,NA,"17:35 às 18:30","Antonia Pereira Bezerra"
NA,NA,"580","4",NA,NA,"Antonia Pereira Bezerra"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
